date;heat_demand;temp_feed_flow;temp_back_flow;T_foerde_scaled;T_hs_ff;T_cons_ff;T_cons_bf;solar_heat_flow;el_spot_price;co2_price;ef_om;ef_dm;hp_c_1;hp_c_0;hp_Q_max;hp_Q_min;biogas_price;ice_H_max;ice_H_min;ice_eta_el;ice_eta_th
2019-09-13 00:00:00;15.69;75.52;44.2;14.63;14;75;40;0.0;28.31;25.75;0.34096704;0.623906898;3.5441641429289854;-0.13108599742738095;0.9732641271405772;0.2790172551299255;84.07;2.6909435726880875;1.5656651556115004;0.4351261521309408;0.3523585378594898
2019-09-13 01:00:00;16.37;75.75;43.84;14.63;14;75;40;0.0;27.11;25.75;0.32102694;0.608928001;3.5441641429289854;-0.13108599742738095;0.9732641271405772;0.2790172551299255;84.07;2.6909435726880875;1.5656651556115004;0.4351261521309408;0.3523585378594898
2019-09-13 02:00:00;15.89;75.66;44.13;14.63;14;75;40;0.0;26.24;25.75;0.313442174;0.602903472;3.5441641429289854;-0.13108599742738095;0.9732641271405772;0.2790172551299255;84.07;2.6909435726880875;1.5656651556115004;0.4351261521309408;0.3523585378594898
2019-09-13 03:00:00;16.37;75.94;43.93;14.63;14;75;40;0.0;27.05;25.75;0.324873329;0.611934128;3.5441641429289854;-0.13108599742738095;0.9732641271405772;0.2790172551299255;84.07;2.6909435726880875;1.5656651556115004;0.4351261521309408;0.3523585378594898
2019-09-13 04:00:00;20.38;79.23;43.96;14.63;14;79;40;0.0;30.01;25.75;0.357232326;0.637656909;3.381760799126883;-0.1306779242270728;0.973580391236232;0.28025050057057577;84.07;2.6909435726880857;1.5656651556114982;0.4350635508497109;0.3523585378594898
2019-09-13 05:00:00;22.83;80.22;44.42;14.63;14;80;40;0.0;40.01;25.75;0.385307433;0.65701821;3.3419133622384423;-0.13031594092185156;0.9736077238145995;0.28070367875022545;84.07;2.6909435726880875;1.5656651556114982;0.435053025194775;0.3523585378594898
2019-09-13 06:00:00;23.94;78.54;41.58;14.63;14;78;40;0.0;43.98;25.75;0.401126752;0.66345643;3.4218844818444887;-0.13092133490146202;0.9735174650497339;0.27980517491305434;84.07;2.6909435726880857;1.5656651556114989;0.4350757819482243;0.3523585378594898
2019-09-13 07:00:00;18.95;75.82;41.07;14.63;14;75;40;0.0;45.72;25.75;0.391204481;0.665425295;3.5441641429289854;-0.13108599742738095;0.9732641271405772;0.2790172551299255;84.07;2.6909435726880875;1.5656651556115004;0.4351261521309408;0.3523585378594898
2019-09-13 08:00:00;16.21;71.23;40.2;14.63;14;71;40;0.0001243063698354;44.69;25.75;0.368810137;0.667948234;3.7118415679296977;-0.12986274727696182;0.973228504352697;0.2783455782869065;84.07;2.6909435726880866;1.565665155611499;0.4352560576524917;0.3523585378594898
2019-09-13 09:00:00;15.66;71.03;40.04;14.63;14;71;40;0.0002982311363268;43.65;25.75;0.341989553;0.668460462;3.7118415679296977;-0.12986274727696182;0.973228504352697;0.2783455782869065;84.07;2.6909435726880866;1.565665155611499;0.4352560576524917;0.3523585378594898
2019-09-13 10:00:00;15.25;71.47;40.2;14.63;14;71;40;0.0003163341053055;42.21;25.75;0.319677349;0.672030163;3.7118415679296977;-0.12986274727696182;0.973228504352697;0.2783455782869065;84.07;2.6909435726880866;1.565665155611499;0.4352560576524917;0.3523585378594898
2019-09-13 11:00:00;14.84;71.19;40.29;14.63;14;71;40;0.0004464741091929;40.92;25.75;0.314408975;0.667014874;3.7118415679296977;-0.12986274727696182;0.973228504352697;0.2783455782869065;84.07;2.6909435726880866;1.565665155611499;0.4352560576524917;0.3523585378594898
2019-09-13 12:00:00;15.04;71.04;40.4;14.63;14;71;40;0.0005216312559999;38.11;25.75;0.308268314;0.664733912;3.7118415679296977;-0.12986274727696182;0.973228504352697;0.2783455782869065;84.07;2.6909435726880866;1.565665155611499;0.4352560576524917;0.3523585378594898
2019-09-13 13:00:00;15.12;71.36;40.69;14.63;14;71;40;0.0005369303114033;37.06;25.75;0.307032336;0.659525648;3.7118415679296977;-0.12986274727696182;0.973228504352697;0.2783455782869065;84.07;2.6909435726880866;1.565665155611499;0.4352560576524917;0.3523585378594898
2019-09-13 14:00:00;15.05;70.75;40.87;14.63;14;70;40;0.0005974292458087;36.25;25.75;0.320668989;0.664388366;3.7538257043403034;-0.1291151589978941;0.973244681295711;0.2782706291852279;84.07;2.6909435726880866;1.5656651556114998;0.4353101271185883;0.3523585378594898
2019-09-13 15:00:00;15.2;70.8;41.13;14.63;14;70;40;0.0003860895285545;37.53;25.75;0.342870713;0.664394212;3.7538257043403034;-0.1291151589978941;0.973244681295711;0.2782706291852279;84.07;2.6909435726880866;1.5656651556114998;0.4353101271185883;0.3523585378594898
2019-09-13 16:00:00;15.96;70.95;41.07;14.63;14;70;40;0.000200099337649;42.48;25.75;0.395883294;0.672316978;3.7538257043403034;-0.1291151589978941;0.973244681295711;0.2782706291852279;84.07;2.6909435726880866;1.5656651556114998;0.4353101271185883;0.3523585378594898
2019-09-13 17:00:00;16.61;70.86;41.44;14.63;14;70;40;3.0969920423472764e-05;46.13;25.75;0.452119309;0.672200489;3.7538257043403034;-0.1291151589978941;0.973244681295711;0.2782706291852279;84.07;2.6909435726880866;1.5656651556114998;0.4353101271185883;0.3523585378594898
2019-09-13 18:00:00;17.22;70.9;41.2;14.63;14;70;40;0.0;50.91;25.75;0.488045775;0.670279815;3.7538257043403034;-0.1291151589978941;0.973244681295711;0.2782706291852279;84.07;2.6909435726880866;1.5656651556114998;0.4353101271185883;0.3523585378594898
2019-09-13 19:00:00;16.71;70.95;41.53;14.63;14;70;40;0.0;52.07;25.75;0.489883789;0.665135212;3.7538257043403034;-0.1291151589978941;0.973244681295711;0.2782706291852279;84.07;2.6909435726880866;1.5656651556114998;0.4353101271185883;0.3523585378594898
2019-09-13 20:00:00;16.96;70.75;41.42;14.63;14;70;40;0.0;44.91;25.75;0.475460656;0.660132033;3.7538257043403034;-0.1291151589978941;0.973244681295711;0.2782706291852279;84.07;2.6909435726880866;1.5656651556114998;0.4353101271185883;0.3523585378594898
2019-09-13 21:00:00;16.67;70.87;41.65;14.63;14;70;40;0.0;42.02;25.75;0.467014745;0.659050792;3.7538257043403034;-0.1291151589978941;0.973244681295711;0.2782706291852279;84.07;2.6909435726880866;1.5656651556114998;0.4353101271185883;0.3523585378594898
